padd,model,fold,train_end,test_start,test_end,train_mae_kb,mae_kb,rmse_kb,r2,n
1,persistence,1,2014-06-01,2014-07-01,2015-06-01,1039.4871794871794,933.9166666666666,1229.0277661631571,0.7109586115908738,12
1,persistence,2,2015-06-01,2015-07-01,2016-06-01,1025.411111111111,1509.6666666666667,1712.741223886434,0.5687396317476922,12
1,persistence,3,2016-06-01,2016-07-01,2017-06-01,1082.3823529411766,2043.1666666666667,2396.5630946559004,-0.9071863658300605,12
1,persistence,4,2017-06-01,2017-07-01,2018-06-01,1183.517543859649,1678.25,2187.2137717501078,-0.3986921108923309,12
1,persistence,5,2018-06-01,2018-07-01,2019-06-01,1230.6349206349207,1505.1666666666667,1801.158608599846,-0.9814204955842281,12
1,persistence,6,2019-06-01,2019-07-01,2020-06-01,1254.5072463768115,877.0833333333334,1359.3100271829087,-0.7632010467337549,12
1,persistence,7,2020-06-01,2020-07-01,2021-06-01,1224.3133333333333,732.6666666666666,962.9426254974903,0.5573626363892632,12
1,persistence,8,2021-06-01,2021-07-01,2022-06-01,1187.8950617283951,567.1666666666666,701.3055682083238,-0.7559892322091459,12
1,persistence,9,2022-06-01,2022-07-01,2023-06-01,1145.0862068965516,635.8333333333334,716.3159219227226,-2.1469348980066854,12
1,persistence,10,2023-06-01,2023-07-01,2024-06-01,1112.231182795699,605.0833333333334,724.8871751291139,-0.3391979284021973,12
1,seasonal_naive,1,2014-06-01,2014-07-01,2015-06-01,1344.5384615384614,2662.3333333333335,3118.778794122255,-0.8612546286393636,12
1,seasonal_naive,2,2015-06-01,2015-07-01,2016-06-01,1520.2444444444445,3808.0833333333335,4101.10782797364,-1.4726259558250945,12
1,seasonal_naive,3,2016-06-01,2016-07-01,2017-06-01,1789.4019607843138,2824.4166666666665,3356.290896709243,-2.7405424602011763,12
1,seasonal_naive,4,2017-06-01,2017-07-01,2018-06-01,1898.3508771929824,3272.75,3698.645822009275,-2.9996791432254306,12
1,seasonal_naive,5,2018-06-01,2018-07-01,2019-06-01,2029.2460317460318,1799.5833333333333,2525.8150334759935,-2.8965102438806865,12
1,seasonal_naive,6,2019-06-01,2019-07-01,2020-06-01,2009.2753623188405,1754.5,1959.5489702139791,-2.6641819944938248,12
1,seasonal_naive,7,2020-06-01,2020-07-01,2021-06-01,1988.8933333333334,1978.75,2537.87261631995,-2.0745877099688785,12
1,seasonal_naive,8,2021-06-01,2021-07-01,2022-06-01,1988.141975308642,2188.4166666666665,2437.6159288671106,-20.214745812850165,12
1,seasonal_naive,9,2022-06-01,2022-07-01,2023-06-01,2001.9540229885058,524.6666666666666,700.0972551486449,-2.0060437659063424,12
1,seasonal_naive,10,2023-06-01,2023-07-01,2024-06-01,1906.6451612903227,599.6666666666666,791.481943361102,-0.5965626286751025,12
1,seasonal_change,1,2014-06-01,2014-07-01,2015-06-01,1184.201923076923,1022.8333333333335,1354.725600752172,0.6488122801015712,12
1,seasonal_change,2,2015-06-01,2015-07-01,2016-06-01,1162.6861111111114,1388.45,1634.6984910578058,0.6071458265858741,12
1,seasonal_change,3,2016-06-01,2016-07-01,2017-06-01,1189.246568627451,1957.8666666666668,2298.712094485374,-0.754626000752654,12
1,seasonal_change,4,2017-06-01,2017-07-01,2018-06-01,1270.1539473684213,1377.5166666666667,1875.000647999888,-0.027880213633257878,12
1,seasonal_change,5,2018-06-01,2018-07-01,2019-06-01,1280.3789682539684,1911.983333333333,2216.3433751715156,-2.0001766494617126,12
1,seasonal_change,6,2019-06-01,2019-07-01,2020-06-01,1335.3010869565217,866.5833333333334,1153.4714777574695,-0.26963391216654853,12
1,seasonal_change,7,2020-06-01,2020-07-01,2021-06-01,1297.8036666666667,825.2000000000002,1099.541489288452,0.4228741992810432,12
1,seasonal_change,8,2021-06-01,2021-07-01,2022-06-01,1262.7959876543212,1269.3333333333333,1421.9179699734207,-6.218656224865963,12
1,seasonal_change,9,2022-06-01,2022-07-01,2023-06-01,1263.24683908046,911.0999999999999,1003.1225049813207,-5.1714398037244385,12
1,seasonal_change,10,2023-06-01,2023-07-01,2024-06-01,1240.527688172043,835.6333333333332,1034.340720781439,-1.7266612226635782,12
1,forecast_flow_identity,1,2014-06-01,2014-07-01,2015-06-01,1246.245360903432,1070.0807613563113,1374.577444772876,0.63844441686869,12
1,forecast_flow_identity,2,2015-06-01,2015-07-01,2016-06-01,1222.7567476304823,1456.1814199419132,1704.3978218520413,0.5729310583893032,12
1,forecast_flow_identity,3,2016-06-01,2016-07-01,2017-06-01,1250.218473784768,2043.327946412017,2386.2447033505155,-0.8907989557659892,12
1,forecast_flow_identity,4,2017-06-01,2017-07-01,2018-06-01,1333.703681429742,1440.935095956486,1961.6297380779229,-0.1250549512420236,12
1,forecast_flow_identity,5,2018-06-01,2018-07-01,2019-06-01,1343.9161970989555,1956.740312682081,2281.7627769011888,-2.179901860848015,12
1,forecast_flow_identity,6,2019-06-01,2019-07-01,2020-06-01,1397.205250627923,1398.7321235400443,1526.261467412593,-1.2229140655425912,12
1,forecast_flow_identity,7,2020-06-01,2020-07-01,2021-06-01,1397.327400460893,1228.4916482654905,1595.7579173565036,-0.21557361030618338,12
1,forecast_flow_identity,8,2021-06-01,2021-07-01,2022-06-01,1384.8210484464187,1255.3229177536325,1451.415470652563,-6.521262912239564,12
1,forecast_flow_identity,9,2022-06-01,2022-07-01,2023-06-01,1375.8901428813986,950.4643954868307,1017.8594865577786,-5.354102361090374,12
1,forecast_flow_identity,10,2023-06-01,2023-07-01,2024-06-01,1348.4433204688457,893.4940874671141,1045.9926879212571,-1.788439547975158,12
1,legacy_constrained_level,1,2014-06-01,2014-07-01,2015-06-01,934.3718921014347,1742.1360543629119,2032.495053557993,0.20951134707371788,12
1,legacy_constrained_level,2,2015-06-01,2015-07-01,2016-06-01,967.3472838044052,1440.095208208192,2010.143669458892,0.4059674473491405,12
1,legacy_constrained_level,3,2016-06-01,2016-07-01,2017-06-01,1030.1182607429655,1936.8530918686695,2284.8106895508063,-0.7334680555719895,12
1,legacy_constrained_level,4,2017-06-01,2017-07-01,2018-06-01,1125.97414437234,1650.5143432383156,2046.1333631834245,-0.2240736111368351,12
